Полка;Код;Наименование (из справочника);Кол-во;Срок годности;Срок (как в записи);Комментарий;Файл-источник;Проверить
23;0005;Пилка для ног чёрная тонкая с ручкой;1;;;полка 23;IMG_7849;"СВОЙ КОД; НА ЛИСТЕ ЕСТЬ ЕЩЁ ОДНО ОПРЕДЕЛЕНИЕ, КОТОРОЕ НЕ ЧИТАЕТСЯ"
23;0006;Пилка стеклянная в чехле;1;;;полка 23;IMG_7849;"СВОЙ КОД; НА ЛИСТЕ: ПОХОЖА НА ПИЛКУ ДЛЯ НОГТЕЙ"
23;0007;Шлифовальная пилка для ног синяя (без упаковки);1;;;полка 23;IMG_7849;"СВОЙ КОД; НА ЛИСТЕ: +1 ИЗ ЭТОЙ ЖЕ СЕРИИ ЧТО И 47427, ТОЛЬКО СИНЯЯ, БЕЗ УПАКОВКИ"
1;0008;Колготки FS 20 ден;1;;;полка 1;IMG_7852;СВОЙ КОД
1;0009;Носки комфорт до бедра;1;;;полка 1;IMG_7852;СВОЙ КОД
1;0010;Гольфы сетка;1;;;полка 1;IMG_7852;СВОЙ КОД
